Orthogroup,Arabidopsis ortholog,genemodel,Label,Gene-family,Block-description,Pathway,Localization,qval,WGCNA_ww,WGCNA_d
OG0000517,"AT1G79530, AT1G16300",FUN_014693,GAPCP-1,GAP,Glyceraldehyde-3-phosphate dehydrogenase,Calvin cycle,chloroplast,3.978558375263401e-09,1.0,2.0
OG0000517,"AT1G79530, AT1G16300",FUN_014695,GAPCP-2,GAP,Glyceraldehyde-3-phosphate dehydrogenase,Calvin cycle,chloroplast,0.00014694820875739298,1.0,6.0
OG0009635,"AT3G26650, AT1G12900",FUN_022531,GAPA1-1,GAP,Glyceraldehyde-3-phosphate dehydrogenase,Calvin cycle,chloroplast,4.17284788195507e-09,3.0,6.0
OG0000517,"AT1G13440, AT3G04120",FUN_025361,GAPC-1,GAP,Glyceraldehyde-3-phosphate dehydrogenase,Calvin cycle,cytoplasm,0.687997040337679,0.0,0.0
,AT1G42970,FUN_025627,GAPB-1,GAP,Glyceraldehyde-3-phosphate dehydrogenase,Calvin cycle,chloroplast,1.3958532911504502e-05,6.0,2.0
OG0022355,AT1G42970,FUN_025628,GAPB-2,GAP,Glyceraldehyde-3-phosphate dehydrogenase,Calvin cycle,chloroplast,0.00026231352280555603,6.0,2.0
OG0009877,AT1G42970,FUN_042613,GAPB-3,GAP,Glyceraldehyde-3-phosphate dehydrogenase,Calvin cycle,chloroplast,0.16323868743546,3.0,5.0
OG0000517,"AT1G13440, AT3G04120",FUN_046883,GAPC-2,GAP,Glyceraldehyde-3-phosphate dehydrogenase,Calvin cycle,cytoplasm,0.00855354766311323,1.0,6.0
OG0000517,"AT1G13440, AT3G04120",FUN_046885,GAPC-3,GAP,Glyceraldehyde-3-phosphate dehydrogenase,Calvin cycle,cytoplasm,,26.0,5.0
OG0018050,AT4G26150,FUN_005227,GATA22-1,GATA,GATA transcription factor 22,Circadian/Light response,,0.00120373850420109,1.0,2.0
OG0000756,"AT3G21175, AT1G51600",FUN_025211,GATA24-1,GATA,GATA transcription factor 24,Circadian/Light response,,2.81698870391113e-06,21.0,2.0
OG0000756,AT4G24470,FUN_038622,GATA25-1,GATA,GATA transcription factor 25,Circadian/Light response,,4.387553375522149e-06,4.0,1.0
OG0000756,"AT3G21175, AT1G51600",FUN_050236,GATA24-2,GATA,GATA transcription factor 24,Circadian/Light response,,1.62040543804179e-06,21.0,12.0
OG0008754,AT4G36730,FUN_001118,GBF1-1,GBF,G-box-binding factor 1,Circadian/Light response,,0.00016572528151291698,13.0,1.0
OG0005169,AT1G32900,FUN_033598,GBSS1-1,GBSS,Granule-bound starch synthase 1,Starch synthesis,chloroplast,0.114251178411086,3.0,6.0
OG0005169,AT1G32900,FUN_043114,GBSS1-2,GBSS,Granule-bound starch synthase 1,Starch synthesis,chloroplast,,,2.0
OG0008338,AT1G11860,FUN_012333,GDCST-1,GDCST,Aminomethyltransferase,Photorespiration,mitochondria,0.000185114166354773,20.0,4.0
OG0008338,AT1G11860,FUN_035149,GDCST-2,GDCST,Aminomethyltransferase,Photorespiration,mitochondria,0.196146008175026,1.0,13.0
OG0012084,"AT2G35370, AT1G32470",FUN_017464,GDH1-1,GDH,Glycine cleavage system H protein 1,Photorespiration,mitochondria,0.0326277395788941,1.0,9.0
OG0007082,AT2G35120,FUN_019059,GDH2-1,GDH,Glycine cleavage system H protein 2,Photorespiration,mitochondria,0.0123656155056685,7.0,0.0
OG0007082,AT2G35120,FUN_030432,GDH2-2,GDH,Glycine cleavage system H protein 2,Photorespiration,mitochondria,0.0343493831532385,3.0,6.0
OG0009440,"AT1G23310, AT1G70580",FUN_009332,GGAT1-1,GGAT,Glutamate-glyoxylate aminotransferase 1,Photorespiration,peroxisome,1.62157282217214e-05,1.0,8.0
OG0009440,"AT1G23310, AT1G70580",FUN_032138,GGAT1-2,GGAT,Glutamate-glyoxylate aminotransferase 1,Photorespiration,peroxisome,3.86938933278701e-25,0.0,1.0
OG0009570,AT1G22770,FUN_027001,GI-1,GI,GIGANTEA,Circadian/Light response,,0.5551928545902329,5.0,4.0
OG0006740,"AT4G33010, AT2G26080",FUN_005224,GLDP1-1,GLDP,Glycine dehydrogenase (decarboxylating) 1,Photorespiration,mitochondria,0.00026398382730443397,1.0,10.0
OG0003625,"AT5G44190, AT2G20570",FUN_015764,GLK1-1,GLK,Transcription activator GLK/Golden2-like 1,Circadian/Light response,,0.0285073208100595,1.0,8.0
OG0000780,"AT3G17820, AT1G48470",FUN_027715,GLN1-1,GLN,Glutamine synthetase 1,Photorespiration,chloroplast,,,
OG0000780,"AT5G16570, AT5G37600, AT1G66200",FUN_029032,GLN1-2,GLN,Glutamine synthetase 1,Photorespiration,chloroplast,1.9152115941672698e-06,1.0,13.0
OG0000780,"AT5G16570, AT5G37600, AT1G66200",FUN_029036,GLN1-3,GLN,Glutamine synthetase 1,Photorespiration,chloroplast,0.0357900461220362,1.0,5.0
OG0000780,AT5G35630,FUN_046730,GLN2-2,GLN,Glutamine synthetase 2,Photorespiration,chloroplast,0.18582142453199,2.0,1.0
OG0001978,"AT3G14415, AT3G14420",FUN_011708,GLO1-1,GLO/GOX,(S)-2-hydroxy-acid oxidase/Glycolate oxidase 1,Photorespiration,peroxisome,1.9134927932903798e-05,1.0,13.0
OG0001978,AT4G18360,FUN_044455,GLO5-1,GLO/GOX,(S)-2-hydroxy-acid oxidase/Glycolate oxidase 5,Photorespiration,peroxisome,0.0024702526254441397,5.0,2.0
OG0001978,"AT3G14415, AT3G14420",FUN_047572,GLO1-2,GLO/GOX,(S)-2-hydroxy-acid oxidase/Glycolate oxidase 1,Photorespiration,peroxisome,0.000649895124002788,1.0,13.0
OG0004544,AT2G41220,FUN_004465,Fd-GOGAT2-1,GLU,Ferredoxin-dependent glutamate synthase 2,Photorespiration,chloroplast,9.534373595714802e-06,1.0,2.0
OG0003857,AT5G53460,FUN_013684,NADH-GOGAT1-1,GLU,NADH-dependent glutamate synthase 1,Photorespiration,chloroplast,0.565434393790053,2.0,1.0
OG0004544,AT2G41220,FUN_023324,Fd-GOGAT2-2,GLU,Ferredoxin-dependent glutamate synthase 2,Photorespiration,,,,
OG0004544,AT2G41220,FUN_032696,Fd-GOGAT2-3,GLU,Ferredoxin-dependent glutamate synthase 2,Photorespiration,chloroplast,0.00040685783987212004,2.0,6.0
OG0009030,AT1G80380,FUN_006219,GLYK-1,GLYK,D-glycerate 3-kinase,Photorespiration,,0.0125378550468764,2.0,1.0
OG0009030,AT1G80380,FUN_016069,GLYK-2,GLYK,D-glycerate 3-kinase,Photorespiration,chloroplast,0.0727482890601937,3.0,2.0
OG0000889,AT1G61800,FUN_012440,GPT2-1,GPT,Glucose-6-phosphate/phosphate translocator 2,Starch/sugar transport,chloroplast,,,
OG0000889,AT1G61800,FUN_035277,GPT2-2,GPT,Glucose-6-phosphate/phosphate translocator 2,Starch/sugar transport,chloroplast,5.58283745011482e-06,3.0,6.0
OG0000889,AT1G61800,FUN_035278,GPT2-3,GPT,Glucose-6-phosphate/phosphate translocator 2,Starch/sugar transport,chloroplast,7.568258686248019e-06,3.0,6.0
OG0000889,"AT1G61800, AT5G54800",FUN_045959,GPT2-4,GPT,Glucose-6-phosphate/phosphate translocator 2,Starch/sugar transport,chloroplast,0.0021465702268838698,20.0,2.0
OG0000889,"AT1G61800, AT5G54800",FUN_049865,GPT2-5,GPT,Glucose-6-phosphate/phosphate translocator 2,Starch/sugar transport,chloroplast,0.125011910334439,6.0,2.0
OG0003905,AT2G06200,FUN_027790,GRF6-1,GRF,Growth-regulating factor 6,Circadian/Light response,,0.00811151004091733,2.0,1.0
OG0013130,"AT5G53660, AT4G24150",FUN_041226,GRF7-1,GRF,Growth-regulating factor 7,Circadian/Light response,,,,
OG0013130,"AT5G53660, AT4G24150",FUN_041227,GRF7-2,GRF,Growth-regulating factor 7,Circadian/Light response,,,,1.0
OG0013130,"AT5G53660, AT4G24150",FUN_043103,GRF7-3,GRF,Growth-regulating factor 7,Circadian/Light response,,,4.0,1.0
OG0004908,AT4G37740,FUN_045038,GRF2-1,GRF,Growth-regulating factor 2,Circadian/Light response,,,4.0,
OG0004908,AT4G37740,FUN_045039,GRF2-2,GRF,Growth-regulating factor 2,Circadian/Light response,,0.018040356458218002,4.0,11.0
OG0002951,AT3G13960,FUN_045289,GRF5-1,GRF,Growth-regulating factor 5,Circadian/Light response,,0.0028581995923464,1.0,9.0
OG0003905,AT2G06200,FUN_050062,GRF6-2,GRF,Growth-regulating factor 6,Circadian/Light response,,,,1.0
OG0011131,AT5G26570,FUN_003562,GWD3-1,GWD,"Phosphoglucan, water dikinase 3",Starch degradation,chloroplast,0.0468792385242963,5.0,4.0
OG0008694,AT1G10760,FUN_009308,GWD1-1,GWD,Alpha-glucan water dikinase 1,Starch degradation,chloroplast,1.0,5.0,4.0
OG0008694,AT1G10760,FUN_032150,GWD1-2,GWD,Alpha-glucan water dikinase 1,Starch degradation,chloroplast,0.00261375049381245,3.0,6.0
OG0023733,AT5G06710,FUN_003683,HAT14-1,HAT,Homeobox-leucine zipper protein HAT 14,Circadian/Light response,,0.0922948961184136,4.0,3.0
OG0001205,"AT4G37790, AT2G22800",FUN_003936,HAT9-1,HAT,Homeobox-leucine zipper protein HAT 9,Circadian/Light response,,1.7047261279522698e-17,3.0,11.0
OG0019550,AT5G06710,FUN_005990,HAT14-2,HAT,Homeobox-leucine zipper protein HAT 14,Circadian/Light response,,,,
OG0002744,"AT5G47370, AT4G17460",FUN_017196,HAT1-1,HAT,Homeobox-leucine zipper protein HAT 1,Circadian/Light response,,0.320047049623008,19.0,1.0
OG0016015,AT4G16780,FUN_024331,HAT4-1,HAT,Homeobox-leucine zipper protein HAT 4,Circadian/Light response,,0.000122269489870874,4.0,1.0
OG0001205,"AT4G37790, AT2G22800",FUN_030229,HAT-9-2,HAT,Homeobox-leucine zipper protein HAT 9,Circadian/Light response,,0.32915033084468803,4.0,1.0
OG0001205,AT5G06710,FUN_032999,HAT14-4,HAT,Homeobox-leucine zipper protein HAT 14,Circadian/Light response,,0.0233265122365208,3.0,1.0
OG0019550,AT5G06710,FUN_039593,HAT14-3,HAT,Homeobox-leucine zipper protein HAT 14,Circadian/Light response,,,,0.0
OG0005272,AT1G79870,FUN_006314,HPR2-1,HPR,Glyoxylate/hydroxypyruvate reductase A,Photorespiration,peroxisome,0.0137781601583013,5.0,6.0
OG0005272,AT1G79870,FUN_006315,HPR2-2,HPR,Glyoxylate/hydroxypyruvate reductase A,Photorespiration,peroxisome,1.83713998170241e-08,3.0,2.0
OG0012706,AT1G68010,FUN_045743,HPR1-1,HPR,Glycerate dehydrogenase,Photorespiration,peroxisome,0.0009586616517734221,1.0,13.0
OG0015687,AT4G29130,FUN_006455,HXK1-1,HXK,Hexokinase 1,Transitory starch pathway,mitochondria,3.94057923864106e-06,1.0,8.0
OG0047487,AT4G29130,FUN_015509,HXK1-2,HXK,Hexokinase 1,Transitory starch pathway,mitochondria,0.0271457207414725,0.0,6.0
OG0013694,AT1G47840,FUN_024205,HXKL1-1,HXK,Hexokinase-like 1,Transitory starch pathway,,1.6046339952031498e-08,11.0,7.0
OG0001282,"AT2G19860, AT4G29130",FUN_026676,HXK1-2,HXK,Hexokinase 1,Transitory starch pathway,mitochondria,4.31271573040955e-06,3.0,2.0
OG0001282,AT4G37840,FUN_028999,HXKL2-1,HXK,Hexokinase-like 2,Transitory starch pathway,,,0.0,
OG0002715,"AT1G50460, AT3G20040",FUN_036370,HXK3-1,HXK,Hexokinase 3,Transitory starch pathway,mitochondria,0.18527902231215498,2.0,5.0
OG0002715,"AT1G50460, AT3G20040",FUN_052690,HXK3-2,HXK,Hexokinase 3,Transitory starch pathway,mitochondria,0.007273076997974659,2.0,1.0
OG0002064,AT3G17609,FUN_014198,HYH-1,HY,Transcription factor HY5-like,Circadian/Light response,,0.00033192348992117,2.0,6.0
OG0002064,AT5G11260,FUN_023543,HY5-1,HY,Transcription factor HY5,Circadian/Light response,,2.91784451906403e-07,2.0,8.0
OG0009772,AT2G39930,FUN_026768,ISA1-1,ISA,Isoamylase 1,Starch synthesis,chloroplast,0.0329406110011872,5.0,4.0
OG0007530,AT4G09020,FUN_038098,ISA3-1,ISA,Isoamylase 3,Starch degradation,chloroplast,0.19282598786673397,5.0,4.0
OG0006976,AT1G03310,FUN_042825,ISA2-1,ISA,Isoamylase 2,Starch synthesis,chloroplast,,,
OG0006976,AT1G03310,FUN_042844,ISA2-2,ISA,Isoamylase 2,Starch synthesis,chloroplast,0.0406270620523905,5.0,2.0
OG0002198,"AT3G48920, AT4G25560, AT5G52260",FUN_013932,LAF1-1,LAF,Transcription factor LAF/LONG AFTER FAR-RED LIGHT 1,Circadian/Light response,,,,
OG0002198,"AT3G48920, AT4G25560, AT5G52260",FUN_013933,LAF1-2,LAF,Transcription factor LAF/LONG AFTER FAR-RED LIGHT 1,Circadian/Light response,,,,
OG0002198,"AT3G48920, AT4G25560, AT5G52260",FUN_022752,LAF1-3,LAF,Transcription factor LAF/LONG AFTER FAR-RED LIGHT 1,Circadian/Light response,,,,
OG0002198,"AT3G48920, AT4G25560, AT5G52260",FUN_022754,LAF1-4,LAF,Transcription factor LAF/LONG AFTER FAR-RED LIGHT 1,Circadian/Light response,,,,
OG0002609,AT5G64170,FUN_045634,LNK1-1,LNK,Night light-inducible and clock-regulated 1,Circadian/Light response,,0.313615735448233,3.0,2.0
OG0002609,AT5G64170,FUN_051849,LNK1-2,LNK,Night light-inducible and clock-regulated 1,Circadian/Light response,,0.0117889976749139,3.0,2.0
OG0003368,"AT3G17240, AT1G48030",FUN_014237,mtLPD1-1,LPD,Dihydrolipoyl dehydrogenase/Glycine cleavage system L protein 1,Photorespiration,mitochondria,3.10813683106835e-05,6.0,2.0
OG0003368,"AT3G17240, AT1G48030",FUN_014238,mtLPD1-2,LPD,Dihydrolipoyl dehydrogenase/Glycine cleavage system L protein 1,Photorespiration,mitochondria,0.0112217963188367,6.0,2.0
OG0005277,"AT4G16155, AT3G16950",FUN_014956,cpLPD2-1,LPD,Dihydrolipoyl dehydrogenase/Glycine cleavage system L protein 2,Photorespiration,chloroplast,0.000152546664694907,10.0,6.0
OG0007747,AT3G10940,FUN_029275,LSF2-1,LSF,Phosphoglucan phosphatase 2,Starch degradation,chloroplast,0.0164813703139541,1.0,6.0
OG0009479,AT3G01510,FUN_039303,LSF1-1,LSF,Phosphoglucan phosphatase 1,Starch degradation,chloroplast,0.265175745654815,5.0,4.0
OG0000520,"AT5G05090, AT3G10760",FUN_004415,LUX-1,LUX/BOA/PCLL,LUX ARRHYTHMO/BROTHER OF LUX ARRHYTHMO/PHTYOCLOCK 1-like,Circadian/Light response,,7.808103824861808e-13,3.0,10.0
OG0000520,"AT5G59570, AT3G46640",FUN_010068,LUX-2,LUX/BOA/PCLL,LUX ARRHYTHMO/BROTHER OF LUX ARRHYTHMO/PHTYOCLOCK 1-like,Circadian/Light response,,,,
OG0000520,"AT5G59570, AT3G46640",FUN_030093,LUX-3,LUX/BOA/PCLL,LUX ARRHYTHMO/BROTHER OF LUX ARRHYTHMO/PHTYOCLOCK 1-like,Circadian/Light response,,0.30874246303118896,10.0,11.0
OG0000520,"AT5G05090, AT3G10760",FUN_033959,LUX-4,LUX/BOA/PCLL,LUX ARRHYTHMO/BROTHER OF LUX ARRHYTHMO/PHTYOCLOCK 1-like,Circadian/Light response,,4.994768495280961e-07,1.0,1.0
OG0000520,"AT5G59570, AT3G46640",FUN_047962,LUX-5,LUX/BOA/PCLL,LUX ARRHYTHMO/BROTHER OF LUX ARRHYTHMO/PHTYOCLOCK 1-like,Circadian/Light response,,0.457341023991242,5.0,4.0
OG0000520,"AT5G59570, AT3G46640",FUN_047963,LUX-6,LUX/BOA/PCLL,LUX ARRHYTHMO/BROTHER OF LUX ARRHYTHMO/PHTYOCLOCK 1-like,Circadian/Light response,,0.7382230397915,5.0,4.0
OG0008161,"AT1G12910,AT3G26640",FUN_007567,LWD1-1,LWD,WD repeat-containing protein/LIGHT-REGULATED WD,Circadian/Light response,,0.0428713515193525,24.0,1.0
OG0007626,AT5G58330,FUN_002078,cpNADP-MDH1-1,MDH,"NADP-dependent malate dehydrogenase, chloroplastic",Carboxylation,chloroplast,1.39304401155219e-28,3.0,2.0
OG0003239,AT2G22780,FUN_003919,pNAD-MDH1-1,MDH,"NAD-dependent malate dehydrogenase 1, peroxisomal",Carboxylation,peroxisome,0.000537198875055449,5.0,6.0
OG0003239,AT2G22780,FUN_008400,pNAD-MDH1-2,MDH,"NAD-dependent malate dehydrogenase 1, peroxisomal",Carboxylation,peroxisome,0.0026361592004489898,1.0,0.0
OG0004671,"AT3G15020, AT1G53240",FUN_011866,mtNAD-MDH-1,MDH,"NAD-dependent malate dehydrogenase, mitochondrial",Carboxylation,mitochondria,0.0057802223106938,2.0,13.0
OG0004671,"AT3G15020, AT1G53240",FUN_011869,mtNAD-MDH-2,MDH,"NAD-dependent malate dehydrogenase, mitochondrial",Carboxylation,mitochondria,0.00517653176912569,3.0,2.0
OG0002189,"AT5G56720, AT5G43330",FUN_015107,cNAD-MDH1-1,MDH,"NAD-dependent malate dehydrogenase 1, cytoplasmic",Carboxylation,cytoplasm,0.0021311821525987398,3.0,2.0
OG0004122,AT3G47520,FUN_018995,cpNAD-MDH-1,MDH,"NAD-dependent malate dehydrogenase, chloroplastic",Carboxylation,chloroplast,0.116286797128345,15.0,5.0
OG0004122,AT3G47520,FUN_029296,cpNAD-MDH-2,MDH,"NAD-dependent malate dehydrogenase, chloroplastic",Carboxylation,chloroplast,1.0,4.0,3.0
OG0002189,AT5G56720,FUN_036901,cNAD-MDH3-1,MDH,"NAD-dependent malate dehydrogenase 3, cytoplastic",Carboxylation,cytoplasm,,4.0,
OG0002189,AT5G56720,FUN_036902,cNAD-MDH3-2,MDH,"NAD-dependent malate dehydrogenase 3, cytoplastic",Carboxylation,cytoplasm,,7.0,
OG0002189,AT5G56720,FUN_049579,cNAD-MDH3-3,MDH,"NAD-dependent malate dehydrogenase 3, cytoplastic",Carboxylation,cytoplasm,,,
OG0000463,AT5G25880,FUN_005110,cNADP-ME2-1,ME,"NADP-dependent malic enzyme 2, cytoplasmic",Decarboxylation,cytoplasm,,7.0,8.0
,AT1G79750,FUN_006401,cpNADP-ME4-1,ME,"NADP-dependent malic enzyme 4, chloroplastic",Decarboxylation,chloroplast,5.93241379760352e-06,1.0,5.0
OG0015821,AT1G79750,FUN_006404,cpNADP-ME4-2,ME,"NADP-dependent malic enzyme 4, chloroplastic",Decarboxylation,chloroplast,2.3023112759321702e-06,1.0,5.0
OG0015821,AT1G79750,FUN_006411,cpNADP-ME4-3,ME,"NADP-dependent malic enzyme 4, chloroplastic",Decarboxylation,chloroplast,4.83657069061858e-05,1.0,5.0
OG0000463,AT1G79750,FUN_006423,cpNADP-ME4-4,ME,"NADP-dependent malic enzyme 4, chloroplastic",Decarboxylation,chloroplast,0.00022174323482011699,1.0,5.0
,AT1G79750,FUN_015913,cpNADP-ME4-5,ME,"NADP-dependent malic enzyme 4, chloroplastic",Decarboxylation,chloroplast,2.5658394717588397e-08,1.0,6.0
OG0005545,AT2G13560,FUN_021996,mtNAD-ME1-1,ME,"NAD-dependent malic enzyme 1, mitochondrial",Decarboxylation,mitochondria,0.0124642613876507,1.0,6.0
OG0000463,AT2G19900,FUN_026515,cNADP-ME1-1,ME,"NADP-dependent malic enzyme 1, cytoplasmic",Decarboxylation,cytoplasm,0.158975398314916,2.0,3.0
OG0006111,AT4G00570,FUN_037145,mtNAD-ME2-1,ME,"NAD-dependent malic enzyme 2, mitochondrial",Decarboxylation,mitochondria,0.0014431469938791,5.0,6.0
OG0006111,AT4G00570,FUN_049199,mtNAD-ME2-2,ME,"NAD-dependent malic enzyme 2, mitochondrial",Decarboxylation,mitochondria,,0.0,2.0
OG0047977,AT5G12470,FUN_036400,MEP4-1,MEP/RER,Methyl erythritol phosphate transporter/RETICULATA-RELATED,Metabolite transport,,2.6562658117302105e-07,1.0,6.0
OG0004785,AT5G12470,FUN_052713,MEP4-2,MEP/RER,Methyl erythritol phosphate transporter/RETICULATA-RELATED,Metabolite transport,,2.3077200958232297e-09,3.0,5.0
OG0007717,"AT5G17520, AT5G17523",FUN_015238,MEX1-1,MEX,Maltose excess protein 1,Starch/sugar transport,chloroplast,0.938715224590855,5.0,4.0
OG0007717,"AT5G17520, AT5G17523",FUN_040465,MEX1-2,MEX,Maltose excess protein 1,Starch/sugar transport,chloroplast,,20.0,
OG0000883,"AT4G35300, AT1G20840",FUN_004191,MSSP2-1,MSSP,Monosaccharide-sensing protein 2,Starch/sugar transport,vacuole,2.26362766331692e-13,3.0,6.0
OG0000883,"AT4G35300, AT1G20840",FUN_012938,MSSP2-2,MSSP,Monosaccharide-sensing protein 2,Starch/sugar transport,vacuole,,,
OG0000883,AT1G20840,FUN_025616,MSSP1-1,MSSP,Monosaccharide-sensing protein 1,Starch/sugar transport,vacuole,0.0404545663676371,6.0,4.0
OG0000883,AT4G35300,FUN_045571,MSSP2-3,MSSP,Monosaccharide-sensing protein 2,Starch/sugar transport,vacuole,1.07456894273972e-10,2.0,17.0
OG0000883,AT4G35300,FUN_051800,MSSP2-4,MSSP,Monosaccharide-sensing protein 2,Starch/sugar transport,vacuole,2.36889882760544e-08,3.0,6.0
OG0000085,"AT2G31180, AT5G10280, AT1G16490, AT4G05100, AT3G23250, AT1G06180, AT5G16770, AT5G65230, AT4G28110, AT3G12820, AT1G79180, AT3G02940, AT4G21440, AT1G34670",FUN_000232,MYB-1,MYB,Transcription factor MYB,Circadian/Light response,,,0.0,6.0
OG0000074,"AT4G09460, AT1G35515, AT5G35550, AT1G22640",FUN_002730,MYB-2,MYB,Transcription factor MYB,Circadian/Light response,,0.0125831833508928,7.0,12.0
OG0000074,AT3G13540,FUN_003721,MYB-3,MYB,Transcription factor MYB,Circadian/Light response,,,,
OG0000085,"AT4G05100, AT4G21440",FUN_008585,MYB-4,MYB,Transcription factor MYB,Circadian/Light response,,1.21161421659607e-13,2.0,1.0
OG0000085,"AT2G31180, AT5G10280, AT1G16490, AT4G05100, AT3G23250, AT1G06180, AT5G16770, AT5G65230, AT4G28110, AT3G12820, AT1G79180, AT3G02940, AT4G21440, AT1G34670",FUN_008586,MYB-5,MYB,Transcription factor MYB,Circadian/Light response,,2.72185911933064e-12,4.0,3.0
OG0004553,,FUN_010340,MYB-6,MYB,Transcription factor MYB,Circadian/Light response,,0.00817705332370425,1.0,1.0
OG0035789,,FUN_010416,MYB-7,MYB,Transcription factor MYB,Circadian/Light response,,2.42363219229477e-08,4.0,3.0
OG0000085,AT3G23250,FUN_015112,MYB-8,MYB,Transcription factor MYB,Circadian/Light response,,0.0575568743841195,4.0,3.0
OG0000074,"AT4G09460, AT1G35515, AT5G35550, AT1G22640",FUN_016739,MYB-9,MYB,Transcription factor MYB,Circadian/Light response,,1.07971632001995e-05,3.0,8.0
OG0000085,"AT2G31180, AT5G10280, AT1G16490, AT4G05100, AT3G23250, AT1G06180, AT5G16770, AT5G65230, AT4G28110, AT3G12820, AT1G79180, AT3G02940, AT4G21440, AT1G34670",FUN_017021,MYB-10,MYB,Transcription factor MYB,Circadian/Light response,,,,
OG0000074,AT5G35550,FUN_027799,MYB-11,MYB,Transcription factor MYB,Circadian/Light response,,0.0672807615044697,0.0,3.0
OG0000085,"AT2G31180, AT5G10280, AT1G16490, AT4G05100, AT3G23250, AT1G06180, AT5G16770, AT5G65230, AT4G28110, AT3G12820, AT1G79180, AT3G02940, AT4G21440, AT1G34670",FUN_029580,MYB-12,MYB,Transcription factor MYB,Circadian/Light response,,,,1.0
OG0000085,"AT2G31180, AT5G10280, AT1G16490, AT4G05100, AT3G23250, AT1G06180, AT5G16770, AT5G65230, AT4G28110, AT3G12820, AT1G79180, AT3G02940, AT4G21440, AT1G34670",FUN_035512,MYB-13,MYB,Transcription factor MYB,Circadian/Light response,,8.92160687847157e-06,4.0,3.0
OG0000085,"AT2G31180, AT5G10280, AT1G16490, AT4G05100, AT3G23250, AT1G06180, AT5G16770, AT5G65230, AT4G28110, AT3G12820, AT1G79180, AT3G02940, AT4G21440, AT1G34670",FUN_035531,MYB-14,MYB,Transcription factor MYB,Circadian/Light response,,,,
OG0001125,"AT1G56650, AT1G66390, AT1G66380, AT1G66370",FUN_036805,MYB-15,MYB,Transcription factor MYB,Circadian/Light response,,,7.0,
OG0027941,,FUN_037490,MYB-16,MYB,Transcription factor MYB,Circadian/Light response,,,3.0,1.0
OG0000074,"AT4G09460, AT1G35515, AT5G35550, AT1G22640",FUN_037732,MYB-17,MYB,Transcription factor MYB,Circadian/Light response,,6.05717617690944e-17,2.0,1.0
OG0001125,"AT1G56650, AT1G66390, AT1G66380, AT1G66370",FUN_040035,MYB-18,MYB,Transcription factor MYB,Circadian/Light response,,3.52142088430899e-13,21.0,1.0
OG0000074,"AT4G38620, AT4G34990, AT2G16720",FUN_045720,MYB-19,MYB,Transcription factor MYB,Circadian/Light response,,0.44868569377144896,4.0,1.0
,,FUN_048198,MYB-20,MYB,Transcription factor MYB,Circadian/Light response,,,,
OG0048202,,FUN_048335,MYB-21,MYB,Transcription factor MYB,Circadian/Light response,,0.136629952463823,17.0,4.0
OG0000074,"AT4G09460, AT1G35515, AT5G35550, AT1G22640",FUN_048382,MYB-22,MYB,Transcription factor MYB,Circadian/Light response,,1.0,4.0,1.0
OG0000085,"AT2G31180, AT1G06180",FUN_051239,MYB-23,MYB,Transcription factor MYB,Circadian/Light response,,0.0459347047105636,4.0,3.0
OG0000074,"AT4G38620, AT4G34990, AT2G16720",FUN_051962,MYB-24,MYB,Transcription factor MYB,Circadian/Light response,,6.28002018077426e-12,12.0,1.0
OG0004248,"AT5G46760, AT5G46830, AT1G32640, AT4G17880",FUN_017559,MYC2-1,MYC,Transcription factor MYC,Circadian/Light response,,1.55707637185269e-05,5.0,14.0
OG0004248,"AT5G46760, AT5G46830, AT1G32640, AT4G17880",FUN_041575,MYC2-2,MYC,Transcription factor MYC,Circadian/Light response,,0.36503969658668195,1.0,6.0
OG0035818,AT1G69490,FUN_011715,NAC029-1,NAC,NAC transcription factor 29,Circadian/Light response,,,,
OG0035818,AT1G69490,FUN_024707,NAC029-2,NAC,NAC transcription factor 29,Circadian/Light response,,,,
OG0001731,AT1G01720,FUN_038686,NAC002-1,NAC,NAC transcription factor 2,Circadian/Light response,,0.114371665914661,4.0,1.0
OG0035818,AT1G69490,FUN_043076,NAC029-3,NAC,NAC transcription factor 29,Circadian/Light response,,,5.0,
OG0001731,"AT5G63790, AT5G08790",FUN_052255,NAC081-1,NAC,NAC transcription factor 81,Circadian/Light response,,0.601107383372921,4.0,3.0
OG0003924,AT1G49810,FUN_047221,NHD2-1,NHD,Sodium/proton antiporter 2,PEP generation,chloroplast,0.014365640178632,4.0,3.0
OG0003924,AT3G19490,FUN_051722,NHD1-1,NHD,Sodium/proton antiporter 1,PEP generation,chloroplast,1.26123133438258e-13,3.0,6.0
OG0009048,AT1G48150,FUN_045881,PAT1-1,PAT,Scarecrow-like transcription factor PAT1/PHYTOCHROME A SIGNAL TRANSDUCTION 1,Circadian/Light response,,,,
OG0009048,AT1G48150,FUN_045883,PAT1-2,PAT,Scarecrow-like transcription factor PAT1/PHYTOCHROME A SIGNAL TRANSDUCTION 1,Circadian/Light response,,2.9418813342381603e-05,4.0,1.0
OG0004462,"AT5G65690, AT4G37870",FUN_033216,PCK1-1,PCK,Phosphoenolpyruvate carboxykinase 1,Decarboxylation,cytoplasm,4.687636606305441e-08,6.0,3.0
OG0000406,"AT4G26270, AT4G29220, AT5G56630",FUN_005129,PFK1-1,PFK,ATP-dependent 6-phosphofructokinase 1,Transitory starch pathway,cytoplasm,,,
